Week,Demand,CropName
2020-10-11,79,Aloe_vera
2020-10-18,78,Aloe_vera
2020-10-25,80,Aloe_vera
2020-11-01,81,Aloe_vera
2020-11-08,74,Aloe_vera
2020-11-15,78,Aloe_vera
2020-11-22,79,Aloe_vera
2020-11-29,79,Aloe_vera
2020-12-06,80,Aloe_vera
2020-12-13,76,Aloe_vera
2020-12-20,73,Aloe_vera
2020-12-27,68,Aloe_vera
2021-01-03,71,Aloe_vera
2021-01-10,67,Aloe_vera
2021-01-17,68,Aloe_vera
2021-01-24,73,Aloe_vera
2021-01-31,79,Aloe_vera
2021-02-07,73,Aloe_vera
2021-02-14,66,Aloe_vera
2021-02-21,74,Aloe_vera
2021-02-28,71,Aloe_vera
2021-03-07,72,Aloe_vera
2021-03-14,78,Aloe_vera
2021-03-21,74,Aloe_vera
2021-03-28,75,Aloe_vera
2021-04-04,75,Aloe_vera
2021-04-11,66,Aloe_vera
2021-04-18,70,Aloe_vera
2021-04-25,71,Aloe_vera
2021-05-02,81,Aloe_vera
2021-05-09,84,Aloe_vera
2021-05-16,85,Aloe_vera
2021-05-23,99,Aloe_vera
2021-05-30,100,Aloe_vera
2021-06-06,92,Aloe_vera
2021-06-13,86,Aloe_vera
2021-06-20,83,Aloe_vera
2021-06-27,84,Aloe_vera
2021-07-04,80,Aloe_vera
2021-07-11,73,Aloe_vera
2021-07-18,70,Aloe_vera
2021-07-25,66,Aloe_vera
2021-08-01,63,Aloe_vera
2021-08-08,61,Aloe_vera
2021-08-15,62,Aloe_vera
2021-08-22,61,Aloe_vera
2021-08-29,60,Aloe_vera
2021-09-05,59,Aloe_vera
2021-09-12,54,Aloe_vera
2021-09-19,60,Aloe_vera
2021-09-26,60,Aloe_vera
2021-10-03,55,Aloe_vera
2021-10-10,59,Aloe_vera
2021-10-17,67,Aloe_vera
2021-10-24,61,Aloe_vera
2021-10-31,54,Aloe_vera
2021-11-07,59,Aloe_vera
2021-11-14,59,Aloe_vera
2021-11-21,57,Aloe_vera
2021-11-28,57,Aloe_vera
2021-12-05,58,Aloe_vera
2021-12-12,57,Aloe_vera
2021-12-19,55,Aloe_vera
2021-12-26,52,Aloe_vera
2022-01-02,59,Aloe_vera
2022-01-09,57,Aloe_vera
2022-01-16,51,Aloe_vera
2022-01-23,59,Aloe_vera
2022-01-30,63,Aloe_vera
2022-02-06,63,Aloe_vera
2022-02-13,78,Aloe_vera
2022-02-20,83,Aloe_vera
2022-02-27,76,Aloe_vera
2022-03-06,76,Aloe_vera
2022-03-13,81,Aloe_vera
2022-03-20,77,Aloe_vera
2022-03-27,71,Aloe_vera
2022-04-03,72,Aloe_vera
2022-04-10,72,Aloe_vera
2022-04-17,73,Aloe_vera
